state,incidentType,expectedResourceLevel,disasterCategory,durationClass,durationDays,declarationDelayDays,fyDeclared,ihProgramDeclared,paProgramDeclared,hmProgramDeclared,expectedResourceScore,missionAssignmentCount,uniqueAgencyCount,uniqueMaTypeCount,uniquePriorityCount,responseComplexityScore,missionDensity,agencyDensity,stage1_funded_prediction,ml_base_prediction,true_funding,totalObligatedFunding
KY,Flood,High,Weather,Long,15,55,2021,True,True,True,4,2,1,1,1,2,0.1333333333333333,0.06666666666666667,1,419170.1,626699.34,626699.34
LA,Hurricane,Very High,Weather,Medium,4,10,2021,True,True,True,5,90,20,2,4,1800,22.5,5.0,1,3853646.8,3323583.69,3323583.69
LA,Hurricane,Very High,Weather,Short,3,78,2021,True,True,True,5,31,10,1,2,310,10.33333333333333,3.333333333333333,1,558538.1,81599.07,81599.07
LA,Severe Ice Storm,Medium,Unknown,Medium,8,26,2021,True,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
LA,Flood,High,Weather,Medium,4,16,2021,True,True,True,4,4,1,1,1,4,1.0,0.25,1,7363.656,2293.09,2293.09
LA,Hurricane,Very High,Weather,Medium,8,3,2021,True,True,True,5,539,34,2,4,18326,67.375,4.25,1,248026050.0,238857067.42,238857067.42
MD,Hurricane,Very High,Weather,Short,1,185,2021,False,True,True,5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MI,Severe Storm,Medium-High,Weather,Short,1,20,2021,True,True,True,3,9,2,1,1,18,9.0,2.0,1,247390.86,288109.92,288109.92
MO,Severe Storm,Medium-High,Weather,Medium,7,69,2021,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MS,Hurricane,Very High,Weather,Short,1,64,2021,True,True,True,5,5,2,1,2,10,5.0,2.0,1,44569.152,34770.48999999999,34770.48999999999
MS,Severe Ice Storm,Medium,Unknown,Medium,8,82,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MT,Other,Medium,Unknown,Short,0,64,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
MT,Fire,Medium,Unknown,Long,12,53,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
NC,Hurricane,Very High,Weather,Medium,4,75,2021,False,True,True,5,9,3,1,1,27,2.25,0.75,1,284559.06,251089.48,251089.48
NC,Severe Storm,Medium-High,Weather,Short,3,111,2021,False,True,True,3,7,3,1,1,21,2.333333333333333,1.0,1,347517.28,749945.79,749945.79
NC,Hurricane,Very High,Weather,Short,2,23,2021,True,True,True,5,7,2,1,1,14,3.5,1.0,1,77322.01,39890.89999999999,39890.89999999999
ND,Severe Storm,Medium-High,Weather,Short,2,95,2021,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
ND,Severe Storm,Medium-High,Weather,Medium,4,86,2021,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
NE,Severe Storm,Medium-High,Weather,Short,1,59,2021,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
NH,Severe Storm,Medium-High,Weather,Short,2,75,2021,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
NJ,Hurricane,Very High,Weather,Short,0,129,2021,False,True,True,5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
NJ,Snowstorm,Medium,Weather,Short,2,87,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
NJ,Hurricane,Very High,Weather,Short,2,4,2021,True,True,True,5,50,9,2,2,450,25.0,4.5,1,3679722.2,3974942.67,3974942.67
NY,Hurricane,Very High,Weather,Short,0,59,2021,False,True,True,5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
NY,Hurricane,Very High,Weather,Short,2,4,2021,True,True,True,5,77,20,2,2,1540,38.5,10.0,1,3745576.8,3736261.98,3736261.98
OK,Severe Ice Storm,Medium,Unknown,Short,3,56,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
OK,Severe Ice Storm,Medium,Unknown,Long,12,16,2021,True,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
OR,Severe Storm,Medium-High,Weather,Medium,4,82,2021,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
PA,Hurricane,Very High,Weather,Medium,5,10,2021,True,True,True,5,13,3,1,1,39,2.6,0.6,1,383824.22,346030.02,346030.02
PR,Flood,High,Weather,Short,0,53,2021,True,False,False,4,2,1,1,1,2,0.0,0.0,1,17419.465,15332.8,15332.8
TN,Severe Ice Storm,Medium,Unknown,Medium,8,69,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
TN,Tornado,Medium-High,Weather,Medium,9,44,2021,True,True,True,3,5,1,1,2,5,0.5555555555555556,0.1111111111111111,1,3510.305,2971.15,2971.15
TN,Flood,High,Weather,Short,0,2,2021,True,True,True,4,20,3,2,1,60,0.0,0.0,1,510892.84,450952.33,450952.33
TX,Hurricane,Very High,Weather,Medium,4,108,2021,False,True,True,5,38,6,2,2,228,9.5,1.5,1,1951141.9,1367877.409999999,1367877.409999999
TX,Severe Ice Storm,Medium,Unknown,Medium,10,8,2021,True,True,True,2,77,14,2,4,1078,7.7,1.4,1,6064118.5,5655348.140000001,5655348.140000001
UT,Severe Storm,Medium-High,Weather,Short,1,127,2021,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
VA,Severe Ice Storm,Medium,Unknown,Short,2,88,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
VT,Flood,High,Weather,Short,1,62,2021,False,True,True,4,4,1,1,1,4,4.0,1.0,1,23032.686,17911.61,17911.61
WA,Fire,Medium,Unknown,Long,18,156,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
WA,Severe Storm,Medium-High,Weather,Long,18,100,2021,False,True,True,3,15,3,1,2,45,0.8333333333333334,0.1666666666666667,1,59849.223,30486.56,30486.56
WV,Severe Ice Storm,Medium,Unknown,Medium,6,92,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
WV,Flood,High,Weather,Medium,5,82,2021,True,True,True,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AK,Severe Storm,Medium-High,Weather,Short,3,78,2022,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AK,Severe Storm,Medium-High,Weather,Short,3,72,2022,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AK,Severe Storm,Medium-High,Weather,Short,2,89,2022,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AK,Mud/Landslide,Medium,Unknown,Short,0,80,2022,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AK,Flood,High,Weather,Short,3,110,2022,False,True,True,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AK,Severe Storm,Medium-High,Weather,Medium,5,8,2022,True,True,True,3,75,10,1,2,750,15.0,2.0,1,1732775.0,1647481.86,1647481.86
AL,Severe Storm,Medium-High,Weather,Short,1,76,2022,True,False,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AR,Tornado,Medium-High,Weather,Short,1,13,2022,True,False,True,3,7,2,1,1,14,7.0,2.0,1,55003.89,55382.50999999999,55382.50999999999
AS,Severe Storm,Medium-High,Weather,Short,3,65,2022,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AZ,Severe Storm,Medium-High,Weather,Short,1,47,2022,True,True,True,3,2,1,1,1,2,2.0,1.0,0,0.0,0.0,0.0
CO,Fire,Medium,Unknown,Medium,8,1,2022,True,True,True,2,28,6,2,2,168,3.5,0.75,1,2086513.1,2542749.0,2542749.0
CT,Hurricane,Very High,Weather,Short,1,59,2022,True,True,True,5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
